,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
169,dothome.co.kr,20180322,0,0,0,0,0,0,0,0,0,0,17,13,0,8,13,0,5,0,0,0,0,5,0,2
170,uol.com.br,20180328,0,0,0,0,0,0,0,12,0,19,15,5,0,10,0,0,0,2,0,0,0,0,19,2
171,uol.com.br,20180329,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,uol.com.br,20180327,0,2,0,0,0,0,0,1,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,5
173,uol.com.br,20180326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,18,0
174,uol.com.br,20180325,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,7,0,0,0,0,0,11,7,0
175,uol.com.br,20180324,0,0,0,0,0,0,0,0,56,4,6,0,0,0,0,12,3,0,11,0,0,3,0,0
176,uol.com.br,20180323,0,0,0,0,0,0,0,0,4,26,0,3,0,0,0,0,4,2,0,4,0,0,0,0
177,uol.com.br,20180322,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,1,30,2,0,0,0,0,0
178,cwsurf.de,20180325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,nazwa.pl,20180329,24,16,8,16,8,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,nazwa.pl,20180327,8,8,0,0,8,0,0,8,8,8,8,0,0,0,0,3,0,4,6,4,9,6,8,13
181,nazwa.pl,20180328,15,24,16,11,12,15,8,4,24,21,20,12,28,20,8,24,18,24,17,8,4,16,13,18
182,nazwa.pl,20180325,9,16,8,8,16,6,15,8,22,10,20,0,0,0,4,0,0,4,8,1,6,6,12,12
183,nazwa.pl,20180326,8,12,8,8,8,8,8,9,12,33,16,14,16,12,28,14,4,14,18,12,6,8,8,20
184,nazwa.pl,20180323,44,28,34,32,16,28,28,22,28,25,10,10,0,4,0,9,0,10,2,0,5,4,1,5
185,nazwa.pl,20180324,20,22,12,14,8,10,20,4,36,34,22,18,32,18,24,28,22,16,6,6,12,8,16,14
186,nazwa.pl,20180322,0,0,0,0,0,0,0,0,6,22,12,13,5,17,9,16,20,17,12,19,23,11,8,26
187,co.cc,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
188,netsolhost.com,20180327,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,netsolhost.com,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,guangsu.cn,20180328,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0
191,guangsu.cn,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
192,guangsu.cn,20180326,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,4,1,0,0,0,0,0
193,guangsu.cn,20180324,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
194,guangsu.cn,20180323,0,2,0,0,0,0,0,0,0,12,0,0,3,1,0,0,0,0,0,0,0,0,0,0
195,guangsu.cn,20180322,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
196,myjino.ru,20180322,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,myftp.biz,20180329,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,myftp.biz,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
199,myftp.biz,20180325,0,0,0,0,0,0,0,0,0,0,0,0,65,117,0,0,64,0,4,24,22,21,0,0
200,mooo.com,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
201,mooo.com,20180323,2,5,1,0,0,0,0,0,2,7,0,0,5,3,0,0,0,0,0,0,2,5,2,0
202,mqego.com,20180328,2,1,0,2,0,0,0,0,1,0,2,2,11,9,2,3,5,3,0,2,4,3,3,1
203,mqego.com,20180329,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,mqego.com,20180327,0,2,0,0,0,0,0,3,4,3,1,0,0,9,2,2,9,0,5,3,1,1,0,3
205,mqego.com,20180326,2,2,0,2,0,0,0,2,0,2,1,8,4,3,4,8,8,3,1,1,1,3,6,4
206,mqego.com,20180325,0,2,3,0,0,0,0,1,0,2,7,2,1,1,0,4,1,7,1,1,1,5,0,1
207,mqego.com,20180324,12,1,1,0,0,0,0,0,0,3,0,1,3,0,4,10,1,2,0,5,4,2,8,6
208,mqego.com,20180323,2,0,0,1,0,0,0,1,0,8,5,2,7,2,7,6,3,11,3,2,1,9,0,2
209,mqego.com,20180322,0,0,0,0,0,0,0,0,0,14,10,1,1,4,11,3,4,3,8,7,9,5,3,6
210,hopto.org,20180329,70,58,38,25,32,30,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,hopto.org,20180324,8,0,1,0,9,5,0,2,4,8,5,1,0,0,0,5,6,8,3,15,19,10,16,50
212,persiangig.com,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,hopto.org,20180328,18,41,36,36,15,10,16,19,19,15,24,22,22,11,29,18,17,26,18,10,6,2,11,54
214,hopto.org,20180327,35,27,10,19,23,11,13,15,14,7,8,11,11,25,18,18,11,29,26,29,5,2,2,10
215,hopto.org,20180326,16,26,15,15,18,26,17,25,12,15,8,11,10,6,6,7,5,6,19,11,15,20,5,12
216,hopto.org,20180325,36,14,16,13,13,12,12,8,12,14,15,15,20,15,31,15,12,14,12,21,15,9,15,14
